column,count,null_count,bool_count,numeric_count,max,mean,min,stddev,nunique_numbers,nunique_numbers_lower,nunique_numbers_upper,inferred_dtype,dtype_fraction,type_unknown_count,type_null_count,type_fractional_count,type_integral_count,type_boolean_count,type_string_count,nunique_str,nunique_str_lower,ununique_str_upper,quantile_0.0000,quantile_0.0100,quantile_0.0500,quantile_0.2500,quantile_0.5000,quantile_0.7500,quantile_0.9500,quantile_0.9900,quantile_1.0000
num_tl_120dpd_2m,99999.0,0.0,0.0,94807.0,2.0,0.0006750556393515247,0.0,0.026773092412007194,3.0,3.0,3.0,2.0,0.948079480794808,0.0,5192.0,94807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
disbursement_method,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,99999.0,1.0,1.0,1.0,,,,,,,,,
dti,99999.0,0.0,0.0,99997.0,999.0,19.25095732872007,0.0,9.627277456550113,4067.0,4067.0,4067.0,2.0,0.999979999799998,0.0,2.0,99997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9800000190734863,5.380000114440918,12.470000267028809,18.639999389648438,25.3799991607666,34.15999984741211,37.95000076293945,999.0
id,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
sec_app_earliest_cr_line,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
verification_status,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,99999.0,3.0,3.0,3.0,,,,,,,,,
total_rec_prncp,99999.0,0.0,0.0,99999.0,35000.0,12135.989921399294,0.0,8319.922247641236,25945.849267945137,25572.832215390958,26324.24616903135,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.7100219726562,1729.780029296875,5806.240234375,10000.0,16000.0,29400.0,35000.0,35000.0
annual_inc_joint,99999.0,0.0,0.0,502.0,500000.0,110402.9580079681,17950.0,52825.302372236445,304.0,304.0,304.0,1.0,0.994979949799498,0.0,99497.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,17950.0,32760.0,49322.0,77000.0,102000.0,133545.0,191300.0,340000.0,500000.0
total_acc,99999.0,0.0,0.0,99999.0,135.0,25.261532615326153,4.0,12.11179199314529,108.0,108.0,108.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,16.0,24.0,32.0,47.0,62.0,135.0
open_acc_6m,99999.0,0.0,0.0,21372.0,14.0,1.1090211491671347,0.0,1.242675056210332,13.0,13.0,13.0,1.0,0.7862778627786278,0.0,78627.0,21372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,14.0
